CustomerAccountNumber,TotalAmount,AvgAmount,TransactionCount,AvgBalance
CUST10343776650,12765.24,12765.24,1,373521.65
CUST10345115695,1590.83,1590.83,1,233637.48
CUST10353459142,2168.23,2168.23,1,319866.91
CUST10366493417,137.64,137.64,1,251737.51
CUST10369129114,579.38,579.38,1,337838.07
CUST10371529741,655.92,655.92,1,478469.03
CUST10377069278,372.89,372.89,1,408054.37
CUST10379491471,400.98,400.98,1,470306.15
CUST10382998899,1088.12,1088.12,1,167347.7
CUST10388163863,1136.23,1136.23,1,9182.66
CUST10394415627,2749.95,2749.95,1,111294.75
CUST10399067830,645.61,645.61,1,440776.26
CUST10408765253,1317.83,1317.83,1,253855.86
CUST10412272923,188.66,188.66,1,67906.97
CUST10432124894,2218.36,2218.36,1,127117.43
CUST10435593570,1885.45,1885.45,1,17876.11
CUST10439477069,1918.06,1918.06,1,80758.0
CUST10450192992,1167.22,1167.22,1,309481.97
CUST10452971172,797.29,797.29,1,139451.69
CUST10462187954,654.58,654.58,1,430131.07
CUST10463760812,910.77,910.77,1,321493.54
CUST10465345678,734.72,734.72,1,14969.17
CUST10467469333,354.77,354.77,1,379757.19
CUST10469819958,1532.62,1532.62,1,139053.64
CUST10470735539,772.46,772.46,1,109740.59
CUST10477934395,506.34,506.34,1,236740.4
CUST10490651227,1119.36,1119.36,1,226428.19
CUST10492586078,414.72,414.72,1,128414.79
CUST10499081800,1502.04,1502.04,1,359032.81
CUST10507695800,204.68,204.68,1,97379.48
CUST10510934068,3601.6,3601.6,1,19358.64
CUST10514626702,211.19,211.19,1,426055.01
CUST10517499461,536.24,536.24,1,13244.88
CUST10521096133,57.22,57.22,1,453244.62
CUST10537297767,234.42,234.42,1,147731.36
CUST10537948211,1379.63,1379.63,1,322475.19
CUST10539091909,242.92,242.92,1,320153.68
CUST10539367598,1929.98,1929.98,1,27138.92
CUST10541368739,1215.94,1215.94,1,236140.46
CUST10551449413,3524.51,3524.51,1,374687.02
CUST10567683268,1393.89,1393.89,1,174980.57
CUST10573321170,1265.42,1265.42,1,239619.26
CUST10573850048,1007.22,1007.22,1,127459.6
CUST10577164644,2443.25,2443.25,1,183572.21
CUST10587424958,273.26,273.26,1,433648.27
CUST10594570956,430.01,430.01,1,86503.21
CUST10598535785,130.57,130.57,1,146058.67
CUST10601324819,6342.93,6342.93,1,1624.62
CUST10603408522,3583.36,3583.36,1,184578.34
CUST10604531840,983.5,983.5,1,74077.58
CUST10610712844,1027.65,1027.65,1,146827.38
CUST10612339970,1196.41,1196.41,1,469103.38
CUST10612679764,1178.94,1178.94,1,76018.16
CUST10620217813,274.68,274.68,1,456167.72
CUST10624574344,429.25,429.25,1,473915.15
CUST10624834883,131.39,131.39,1,18575.31
CUST10625793362,1079.02,1079.02,1,376611.38
CUST10626093045,3690.44,3690.44,1,402621.85
CUST10627550645,465.34,465.34,1,133690.13
CUST10629441341,749.53,749.53,1,341295.95
CUST10633820988,552.85,552.85,1,129610.72
CUST10636219431,1704.88,1704.88,1,327496.62
CUST10638919858,1016.44,1016.44,1,323643.66
CUST10640610646,734.43,734.43,1,180357.08
CUST10645046796,211.47,211.47,1,51611.91
CUST10659754058,1202.76,1202.76,1,181384.59
CUST10662315900,596.61,596.61,1,63208.83
CUST10669549567,693.27,693.27,1,446725.91
CUST10676355839,170.18,170.18,1,254143.59
CUST10685406210,919.2,919.2,1,371973.92
CUST10688652241,4367.11,4367.11,1,20503.76
CUST10689987258,597.08,597.08,1,175030.52
CUST10690107935,416.5,416.5,1,382704.25
CUST10702137902,100.79,100.79,1,185136.25
CUST10714778370,61.16,61.16,1,67673.88
CUST10720340728,233.26,233.26,1,407683.64
CUST10723581006,1014.49,1014.49,1,354995.32
CUST10725652986,896.87,896.87,1,41846.35
CUST10744783113,2603.71,2603.71,1,275015.18
CUST10746818154,459.88,459.88,1,377534.45
CUST10747131724,1720.81,1720.81,1,129338.05
CUST10758621486,789.98,789.98,1,408427.91
CUST10761283052,824.68,824.68,1,40987.7
CUST10764109064,288.22,288.22,1,146571.82
CUST10766291598,1131.87,1131.87,1,96566.95
CUST10766734367,137.31,137.31,1,20320.47
CUST10786072383,1297.17,1297.17,1,37546.93
CUST10793480168,79.81,79.81,1,54199.13
CUST10802868871,95.67,95.67,1,14056.32
CUST10804813847,595.32,595.32,1,400575.47
CUST10814784490,2844.17,2844.17,1,347146.86
CUST10820718127,178.28,178.28,1,349194.94
CUST10821902865,2081.48,2081.48,1,484979.5
CUST10825031046,1668.54,1668.54,1,315758.8
CUST10826186404,10286.58,10286.58,1,488602.2
CUST10834754826,1357.18,1357.18,1,492188.07
CUST10838907890,109.2,109.2,1,351247.48
CUST10839138714,204.1,204.1,1,309528.29
CUST10844191262,396.26,396.26,1,200511.69
CUST10851408375,1949.98,1949.98,1,416898.67
CUST10854178824,111.25,111.25,1,205048.54
CUST10865708455,740.92,740.92,1,92058.39
CUST10869274621,313.37,313.37,1,434321.1
CUST10874853002,695.96,695.96,1,429085.83
CUST10875254812,2742.82,2742.82,1,173132.69
CUST10877094717,1316.02,1316.02,1,244036.71
CUST10882019889,410.19,410.19,1,479334.63
CUST10888926973,1275.24,1275.24,1,360467.9
CUST10895933654,2708.28,2708.28,1,324681.55
CUST10902276603,681.68,681.68,1,468104.99
CUST10904588768,2250.82,2250.82,1,282857.71
CUST10909638977,544.41,544.41,1,433126.48
CUST10913597811,57.68,57.68,1,255954.14
CUST10914531554,2006.29,2006.29,1,278777.35
CUST10925653691,115.98,115.98,1,316443.65
CUST10929675548,242.92,242.92,1,347971.68
CUST10930347708,55.45,55.45,1,495718.82
CUST10941035418,634.22,634.22,1,379044.78
CUST10942618856,1610.33,1610.33,1,80768.67
CUST10964673457,8083.46,8083.46,1,233509.7
CUST10970620689,426.31,426.31,1,396461.0
CUST10984451244,738.27,738.27,1,133408.2
CUST10987685194,12365.41,12365.41,1,128636.02
CUST10993540220,10150.72,10150.72,1,381815.34
CUST10994531301,457.8,457.8,1,138379.17
CUST10997451438,3438.5,3438.5,1,174380.25
CUST11016236492,1625.37,1625.37,1,182390.61
CUST11022700569,422.41,422.41,1,489857.68
CUST11026915121,635.72,635.72,1,331262.91
CUST11029085622,248.1,248.1,1,329349.35
CUST11029942452,1076.9,1076.9,1,426457.81
CUST11036360593,412.61,412.61,1,130431.32
CUST11038393500,201.28,201.28,1,336917.52
CUST11049197365,13922.97,13922.97,1,22646.83
CUST11054799243,164.97,164.97,1,151534.28
CUST11056330356,178.95,178.95,1,195091.44
CUST11060046983,109.69,109.69,1,257294.68
CUST11062540358,1371.14,1371.14,1,298225.93
CUST11063040147,2084.88,2084.88,1,184669.9
CUST11072651266,12676.29,12676.29,1,432097.21
CUST11072962633,594.01,594.01,1,114500.47
CUST11089487104,4793.76,4793.76,1,196821.81
CUST11092172803,3549.96,3549.96,1,39796.49
CUST11095425745,736.83,736.83,1,202861.77
CUST11098967986,165.22,165.22,1,331392.61
CUST11100112748,878.86,878.86,1,149534.19
CUST11103215004,232.98,232.98,1,291392.27
CUST11104955228,771.41,771.41,1,467126.01
CUST11110068103,161.05,161.05,1,126498.55
CUST11110540001,3114.05,3114.05,1,230450.16
CUST11117883154,144.34,144.34,1,483804.0
CUST11118543669,492.5,492.5,1,440818.43
CUST11119593140,7458.67,7458.67,1,68706.99
CUST11125663333,2477.13,2477.13,1,500261.36
CUST11133273976,485.12,485.12,1,109298.15
CUST11134897407,2664.53,2664.53,1,169875.83
CUST11147977942,1548.31,1548.31,1,101115.21
CUST11148100051,187.3,187.3,1,21705.86
CUST11148759741,10202.99,10202.99,1,472475.22
CUST11155695211,163.77,163.77,1,411145.92
CUST11158747593,148.04,148.04,1,74425.84
CUST11160194401,151.59,151.59,1,485904.69
CUST11162061416,165.19,165.19,1,262054.17
CUST11166005485,710.97,710.97,1,47390.14
CUST11168407047,4301.89,4301.89,1,375743.95
CUST11170382112,798.8,798.8,1,274897.15
CUST11173421551,3107.4,3107.4,1,64180.04
CUST11177472540,749.81,749.81,1,145511.43
CUST11181216309,1723.51,1723.51,1,403711.81
CUST11184769487,115.68,115.68,1,447667.48
CUST11192796784,1116.8,1116.8,1,144255.26
CUST11196269593,448.66,448.66,1,386120.57
CUST11201811593,2788.31,2788.31,1,76047.86
CUST11203511660,7132.79,7132.79,1,345773.1
CUST11204631770,992.37,992.37,1,438799.31
CUST11206787984,1621.62,1621.62,1,406540.21
CUST11208571812,372.32,372.32,1,278856.43
CUST11213749881,220.81,220.81,1,196733.22
CUST11214741296,2513.7,2513.7,1,268806.64
CUST11219377735,230.64,230.64,1,278246.49
CUST11221706736,136.03,136.03,1,6150.1
CUST11222463450,249.04,249.04,1,359492.3
CUST11227364147,970.62,970.62,1,261869.68
CUST11237973828,1084.93,1084.93,1,371412.86
CUST11239551042,3071.39,3071.39,1,428287.47
CUST11239696228,2607.4,2607.4,1,261689.75
CUST11242580227,2986.84,2986.84,1,318955.62
CUST11245307832,144.57,144.57,1,401221.66
CUST11247112947,3736.66,3736.66,1,343644.33
CUST11247437523,1068.16,1068.16,1,450276.79
CUST11247560494,536.75,536.75,1,217367.2
CUST11255408882,625.18,625.18,1,446503.47
CUST11262486889,186.27,186.27,1,197819.78
CUST11266524738,1808.63,1808.63,1,179516.99
CUST11271387818,2245.15,2245.15,1,344304.68
CUST11287220681,1841.06,1841.06,1,150377.69
CUST11291808858,290.55,290.55,1,337157.87
CUST11291819397,10235.13,10235.13,1,78141.2
CUST11300356413,695.71,695.71,1,342792.2
CUST11310088696,491.5,491.5,1,119201.96
CUST11311872452,1835.58,1835.58,1,125872.79
CUST11312471946,906.93,906.93,1,446097.13
CUST11312538792,556.94,556.94,1,396581.69
CUST11313637433,1397.82,1397.82,1,257167.9
CUST11317112818,947.03,947.03,1,452401.87
CUST11326096869,600.85,600.85,1,187204.04
CUST11331195345,219.43,219.43,1,207806.31
CUST11333039229,147.49,147.49,1,492845.19
CUST11333992835,4632.17,4632.17,1,136112.9
CUST11334933648,868.04,868.04,1,254271.21
CUST11343253218,21.22,21.22,1,39795.08
CUST11346506180,654.59,654.59,1,7165.93
CUST11357998798,93.58,93.58,1,212487.94
CUST11359422830,887.98,887.98,1,161654.57
CUST11361566608,627.43,627.43,1,154961.55
CUST11370825328,336.87,336.87,1,443882.95
CUST11384589009,994.39,994.39,1,113228.65
CUST11399267596,229.05,229.05,1,179660.75
CUST11399522129,8788.3,8788.3,1,46005.39
CUST11404842324,1262.9,1262.9,1,14642.85
CUST11409732062,4044.58,4044.58,1,431891.29
CUST11412784711,2211.84,2211.84,1,455612.33
CUST11420336973,132.12,132.12,1,69043.87
CUST11421071001,3113.4,3113.4,1,359253.66
CUST11421312425,561.95,561.95,1,362903.97
CUST11422766558,796.97,796.97,1,253452.99
CUST11423829685,124.68,124.68,1,319965.56
CUST11438888667,896.8,896.8,1,4891.02
CUST11443723091,356.67,356.67,1,343254.63
CUST11453346882,2165.93,2165.93,1,187582.19
CUST11461892961,205.01,205.01,1,227461.33
CUST11464963563,1091.53,1091.53,1,472692.26
CUST11473802737,635.86,635.86,1,351661.38
CUST11480812161,166.85,166.85,1,289050.39
CUST11487522988,2114.93,2114.93,1,193953.2
CUST11491167147,157.01,157.01,1,294307.5
CUST11493011621,712.83,712.83,1,2660.21
CUST11495121821,1583.42,1583.42,1,80630.04
CUST11497473523,317.34,317.34,1,30415.01
CUST11500494813,42.51,42.51,1,20192.85
CUST11515179159,11596.23,11596.23,1,19778.29
CUST11528023707,1646.66,1646.66,1,492567.75
CUST11537725028,386.6,386.6,1,374895.32
CUST11538826413,373.95,373.95,1,422396.37
CUST11548511978,290.53,290.53,1,310815.36
CUST11548577051,205.71,205.71,1,462496.15
CUST11553490351,132.43,132.43,1,91991.12
CUST11560191187,3149.45,3149.45,1,325347.03
CUST11574677415,445.03,445.03,1,110538.57
CUST11578699555,76.39,76.39,1,100751.85
CUST11582467319,161.71,161.71,1,65157.79
CUST11583430720,72.58,72.58,1,470235.41
CUST11590181914,702.54,702.54,1,150324.65
CUST11594577205,102.49,102.49,1,315604.09
CUST11596408868,76.62,76.62,1,394342.1
CUST11601335287,684.43,684.43,1,98762.07
CUST11604063728,1847.78,1847.78,1,146924.25
CUST11604807502,785.11,785.11,1,278263.09
CUST11604911430,1293.02,1293.02,1,387967.14
CUST11614351139,2932.58,2932.58,1,429217.0
CUST11618720252,734.43,734.43,1,277941.53
CUST11628345299,1714.11,1714.11,1,375223.92
CUST11629095461,219.05,219.05,1,421483.04
CUST11637086445,3701.55,3701.55,1,275465.87
CUST11648793280,43.96,43.96,1,229532.57
CUST11649371548,898.47,898.47,1,429268.57
CUST11650896535,641.3,641.3,1,440451.95
CUST11654551451,294.28,294.28,1,151876.13
CUST11654996488,273.89,273.89,1,352193.64
CUST11660867458,907.27,907.27,1,488907.18
CUST11661950007,1477.78,1477.78,1,339636.46
CUST11668515320,193.78,193.78,1,393687.44
CUST11670900528,36.91,36.91,1,198681.33
CUST11671080841,7466.09,7466.09,1,491511.36
CUST11687993419,1259.52,1259.52,1,106565.91
CUST11692071039,16137.21,16137.21,1,122436.36
CUST11694686414,4279.56,4279.56,1,129829.12
CUST11700478682,3411.13,3411.13,1,54774.95
CUST11723897606,3728.12,3728.12,1,27017.9
CUST11727720315,157.63,157.63,1,463976.53
CUST11729305677,487.58,487.58,1,153307.65
CUST11729523526,2224.68,2224.68,1,388950.28
CUST11732553940,3308.69,3308.69,1,456072.83
CUST11736234904,235.87,235.87,1,340385.07
CUST11739505047,5134.11,5134.11,1,470438.24
CUST11750141122,58680.89,58680.89,1,375984.76
CUST11766305678,953.77,953.77,1,40860.77
CUST11770228155,43.71,43.71,1,143534.65
CUST11775636070,604.37,604.37,1,59493.11
CUST11778661469,1806.37,1806.37,1,400990.55
CUST11785741849,462.21,462.21,1,199231.95
CUST11786609942,4978.46,4978.46,1,84586.1
CUST11790628626,612.03,612.03,1,176346.29
CUST11791357815,107592.07,107592.07,1,201095.41
CUST11791782643,61.77,61.77,1,72051.76
CUST11794176039,459.57,459.57,1,205683.51
CUST11794969091,1227.61,1227.61,1,15262.56
CUST11799966696,319.16,319.16,1,364913.1
CUST11806436910,144.69,144.69,1,223488.47
CUST11807935628,781.78,781.78,1,209517.48
CUST11811364085,322.79,322.79,1,136283.67
CUST11812361945,3110.07,3110.07,1,182164.59
CUST11815005904,606.76,606.76,1,6024.36
CUST11817393686,1414.96,1414.96,1,474031.0
CUST11819230165,626.81,626.81,1,429812.54
CUST11824981769,245.35,245.35,1,143044.8
CUST11830706597,532.9,532.9,1,167945.13
CUST11835700439,1612.92,1612.92,1,442890.17
CUST11840596835,904.63,904.63,1,400955.51
CUST11841683152,3333.04,3333.04,1,498462.96
CUST11841823558,1376.55,1376.55,1,410573.85
CUST11848089232,399.23,399.23,1,41139.02
CUST11856646104,1865.76,1865.76,1,306548.38
CUST11866107051,2822.65,2822.65,1,485731.31
CUST11867393644,3202.65,3202.65,1,266045.49
CUST11873593613,506.02,506.02,1,224208.35
CUST11882253253,799.63,799.63,1,118859.83
CUST11882967331,176.92,176.92,1,339156.03
CUST11887099343,94.0,94.0,1,378871.6
CUST11898674102,332.37,332.37,1,206974.71
CUST11912365732,2813.79,2813.79,1,322337.96
CUST11912374618,138.77,138.77,1,133048.76
CUST11914221814,127.41,127.41,1,470267.95
CUST11915531025,660.39,660.39,1,382977.83
CUST11922780654,19202.17,19202.17,1,193557.85
CUST11931320992,999.28,999.28,1,64436.88
CUST11936851587,838.45,838.45,1,185798.2
CUST11937160689,474.29,474.29,1,487170.32
CUST11956032515,378.73,378.73,1,127341.57
CUST11957772996,248.17,248.17,1,444065.05
CUST11963200272,550.5,550.5,1,320711.0
CUST11964933099,361.25,361.25,1,204723.51
CUST11970172981,1684.5,1684.5,1,211755.64
CUST11971139932,1001.11,1001.11,1,9105.63
CUST11971608803,624.24,624.24,1,248533.26
CUST11974282279,213.12,213.12,1,123058.64
CUST11975920582,434.92,434.92,1,433882.83
CUST11976556539,394.27,394.27,1,3489.33
CUST11981639435,4659.86,4659.86,1,63205.39
CUST11984470169,2253.59,2253.59,1,452101.52
CUST11985906498,583.62,583.62,1,76161.02
CUST11990369975,419.08,419.08,1,292895.93
CUST11992533910,433.6,433.6,1,99858.67
CUST11999588120,354.8,354.8,1,229523.26
CUST12000183006,365.27,365.27,1,69055.51
CUST12005547544,422.26,422.26,1,413584.67
CUST12023486529,547.69,547.69,1,169563.54
CUST12030552698,42.57,42.57,1,115778.01
CUST12031313702,702.52,702.52,1,342709.46
CUST12032208630,452.9,452.9,1,373680.37
CUST12040919886,332.44,332.44,1,199060.9
CUST12046169433,508.81,508.81,1,436599.6
CUST12055537051,541.92,541.92,1,231676.84
CUST12056662800,183.79,183.79,1,157750.98
CUST12060749745,1372.93,1372.93,1,448341.09
CUST12061760942,22062.08,22062.08,1,407105.59
CUST12066796804,4596.07,4596.07,1,278998.58
CUST12067304893,2448.36,2448.36,1,414179.84
CUST12069720401,350.46,350.46,1,367934.62
CUST12070177372,938.5,938.5,1,475988.28
CUST12076564736,2357.7,2357.7,1,33755.32
CUST12087571994,11764.53,11764.53,1,308522.79
CUST12092409893,774.62,774.62,1,422423.79
CUST12094705972,571.85,571.85,1,48580.78
CUST12095368833,1726.83,1726.83,1,117417.02
CUST12107860133,168.2,168.2,1,161374.16
CUST12110518103,682.89,682.89,1,16517.14
CUST12118324402,146.57,146.57,1,445774.53
CUST12119330639,379.74,379.74,1,473625.15
CUST12124236232,118.99,118.99,1,193522.06
CUST12124378175,12.43,12.43,1,120515.88
CUST12136678744,15702.84,15702.84,1,457953.33
CUST12142998889,4184.96,4184.96,1,439756.32
CUST12154832067,2101.08,2101.08,1,92149.65
CUST12170991077,773.78,773.78,1,412339.72
CUST12173380498,9156.31,9156.31,1,277241.07
CUST12182063594,1319.93,1319.93,1,500468.79
CUST12182207354,918.5,918.5,1,411940.45
CUST12189158951,174.55,174.55,1,123099.31
CUST12190453309,847.69,847.69,1,91133.97
CUST12193812427,2223.14,2223.14,1,67755.66
CUST12195475289,674.27,674.27,1,63709.38
CUST12198132653,265.25,265.25,1,175151.61
CUST12201519772,1636.4,1636.4,1,417154.25
CUST12204109012,486.53,486.53,1,246582.31
CUST12205598115,14447.08,14447.08,1,295621.58
CUST12211320756,176.86,176.86,1,202785.79
CUST12211713695,2536.51,2536.51,1,423720.01
CUST12213747479,161.31,161.31,1,257185.78
CUST12215853564,71.96,71.96,1,89479.51
CUST12216801141,3019.59,3019.59,1,281937.32
CUST12217300890,63.96,63.96,1,291836.06
CUST12222957197,505.0,505.0,1,81403.93
CUST12223152638,635.59,635.59,1,237828.04
CUST12223941106,3688.99,3688.99,1,158982.66
CUST12227985830,260.8,260.8,1,86212.12
CUST12233287731,37967.02,37967.02,1,329629.78
CUST12234922939,862.09,862.09,1,48755.57
CUST12237951358,114.43,114.43,1,5545.48
CUST12240957810,669.78,669.78,1,9380.55
CUST12242275591,309.93,309.93,1,267305.08
CUST12246779266,809.98,809.98,1,15943.86
CUST12252182490,1637.98,1637.98,1,309346.74
CUST12281193318,3160.85,3160.85,1,385704.48
CUST12281240041,293.12,293.12,1,153226.82
CUST12298864548,288.25,288.25,1,36056.61
CUST12301979780,416.61,416.61,1,307925.92
CUST12307012677,448.41,448.41,1,378226.1
CUST12311484844,214.72,214.72,1,369688.82
CUST12318363917,332.11,332.11,1,437071.67
CUST12324342254,910.17,910.17,1,184212.16
CUST12326593388,15083.45,15083.45,1,167303.61
CUST12334071425,2206.61,2206.61,1,433621.36
CUST12334422676,168.06,168.06,1,286106.45
CUST12339189727,484.41,484.41,1,379551.06
CUST12342779703,684.68,684.68,1,397442.44
CUST12349345090,678.81,678.81,1,250998.0
CUST12355146624,300.0,300.0,1,105819.8
CUST12356499858,419.53,419.53,1,393639.82
CUST12362657890,213.15,213.15,1,273482.06
CUST12373872939,690.81,690.81,1,373742.72
CUST12374124588,133.94,133.94,1,443712.59
CUST12392006084,1340.89,1340.89,1,60351.84
CUST12395868830,890.69,890.69,1,269497.32
CUST12403766478,1612.94,1612.94,1,284106.87
CUST12408626636,2068.0,2068.0,1,262468.59
CUST12419150540,205.66,205.66,1,394836.74
CUST12427292327,1121.83,1121.83,1,326677.88
CUST12429250022,1199.51,1199.51,1,108786.64
CUST12440288308,883.67,883.67,1,202634.08
CUST12441572471,1971.91,1971.91,1,346994.84
CUST12443216281,13725.36,13725.36,1,292237.09
CUST12445803421,226.87,226.87,1,405112.09
CUST12453367814,463.0,463.0,1,392848.35
CUST12454165583,1442.85,1442.85,1,287840.93
CUST12455450949,1332.5,1332.5,1,490380.09
CUST12458583307,10974.56,10974.56,1,47498.06
CUST12459713184,881.49,881.49,1,8696.75
CUST12459980187,2600.39,2600.39,1,148001.78
CUST12462139838,358.72,358.72,1,335646.27
CUST12470535013,42349.96,42349.96,1,103810.05
CUST12479353737,947.38,947.38,1,271704.88
CUST12481817739,351.28,351.28,1,68479.66
CUST12486989235,2194.94,2194.94,1,25228.9
CUST12489535332,3476.56,3476.56,1,150138.66
CUST12493889295,275.34,275.34,1,120133.74
CUST12504898846,447.92,447.92,1,473432.48
CUST12507607714,6068.82,6068.82,1,253728.88
CUST12521926262,130.86,130.86,1,286115.86
CUST12536050206,16.22,16.22,1,250639.2
CUST12541687076,5505.5,5505.5,1,427512.6
CUST12550969421,142.43,142.43,1,353124.5
CUST12554947458,1328.76,1328.76,1,123356.48
CUST12556371051,4753.48,4753.48,1,47731.3
CUST12556609233,667.0,667.0,1,2148.46
CUST12557253090,136.45,136.45,1,483341.54
CUST12559402688,313.17,313.17,1,92750.42
CUST12559789984,2889.19,2889.19,1,453107.71
CUST12564418312,514.95,514.95,1,206060.89
CUST12566948814,502.75,502.75,1,401733.71
CUST12578785317,248.97,248.97,1,401016.21
CUST12586045617,32.55,32.55,1,179514.65
CUST12598187816,464.65,464.65,1,441725.71
CUST12605497677,721.39,721.39,1,215367.94
CUST12611336587,270.24,270.24,1,391160.48
CUST12612521451,127.67,127.67,1,23110.42
CUST12627254482,258.58,258.58,1,431213.64
CUST12631841596,1828.95,1828.95,1,370518.38
CUST12633753118,1387.31,1387.31,1,153169.92
CUST12640779088,2891.11,2891.11,1,486068.85
CUST12651803394,177.14,177.14,1,76504.17
CUST12653155898,8625.03,8625.03,1,341280.64
CUST12655164931,503.6,503.6,1,464785.39
CUST12663480708,2919.93,2919.93,1,295311.29
CUST12673049346,1100.65,1100.65,1,94151.39
CUST12677743243,374.7,374.7,1,219845.13
CUST12680094643,559.87,559.87,1,431866.92
CUST12680370404,1124.95,1124.95,1,34152.45
CUST12682284271,277.52,277.52,1,234717.35
CUST12698105523,955.81,955.81,1,478059.91
CUST12705028705,745.25,745.25,1,105284.62
CUST12715744496,644.7,644.7,1,278539.12
CUST12718951471,392.46,392.46,1,263384.4
CUST12719251177,150.67,150.67,1,162736.56
CUST12721805433,154.06,154.06,1,455879.27
CUST12722591742,10361.46,10361.46,1,162998.8
CUST12722911670,733.12,733.12,1,326546.41
CUST12725112498,93.84,93.84,1,143171.88
CUST12726040647,2612.67,2612.67,1,239071.96
CUST12735717608,946.68,946.68,1,353294.48
CUST12748284256,621.6,621.6,1,100298.69
CUST12748292357,5424.97,5424.97,1,31933.41
CUST12749252456,103.04,103.04,1,434015.29
CUST12751756165,908.28,908.28,1,99755.61
CUST12752280980,218.37,218.37,1,48405.35
CUST12766381407,5562.05,5562.05,1,442331.08
CUST12787922193,170.25,170.25,1,182449.02
CUST12790406988,908.83,908.83,1,101739.45
CUST12795943204,2728.63,2728.63,1,96742.25
CUST12795979879,714.19,714.19,1,387826.51
CUST12798547300,8491.45,8491.45,1,481347.61
CUST12817271787,330.73,330.73,1,431830.54
CUST12819430190,1028.33,1028.33,1,8387.24
CUST12820736252,1297.42,1297.42,1,419648.33
CUST12832322188,590.99,590.99,1,274307.67
CUST12837990400,6198.04,6198.04,1,464801.13
CUST12839339984,11415.04,11415.04,1,71520.24
CUST12846937749,304.79,304.79,1,274089.66
